Input List,Area AVG,RG AVG,RDF Peak
"[(1, 'E9'), (2, 'S8'), (3, 'E6'), (4, 'S0'), (5, 'S9'), (6, 'S4'), (7, 'S2'), (8, 'S5'), (9, 'E9'), (10, 'S1'), (11, 'E6'), (12, 'S3'), (13, 'E7'), (14, 'E3'), (15, 'S2'), (16, 'E4'), (17, 'E9'), (18, 'E9'), (19, 'E8')]",15756.2225642,18.7786345,1.91168451
"[(1, 'S2'), (2, 'E8'), (3, 'S5'), (4, 'S7'), (5, 'E0'), (6, 'E9'), (7, 'S7'), (8, 'E8'), (9, 'S5'), (10, 'S9'), (11, 'S0'), (12, 'S6'), (13, 'E6'), (14, 'E9'), (15, 'S0'), (16, 'S4'), (17, 'S3'), (18, 'S7'), (19, 'S1')]",18005.34225372,19.37915899,1.94857572
"[(1, 'S5'), (2, 'E2'), (3, 'S5'), (4, 'S1'), (5, 'E8'), (6, 'E0'), (7, 'S9'), (8, 'E4'), (9, 'S6'), (10, 'E5'), (11, 'E6'), (12, 'E8'), (13, 'S6'), (14, 'E1'), (15, 'S3'), (16, 'E5'), (17, 'S5'), (18, 'E9'), (19, 'S9'), (20, 'S6')]",18815.11883614,20.00803924,1.83789569
"[(1, 'S6'), (2, 'S7'), (3, 'E3'), (4, 'E3'), (5, 'S9'), (6, 'S0'), (7, 'E3'), (8, 'S8'), (9, 'E2'), (10, 'S4'), (11, 'S1'), (12, 'E8'), (13, 'E4'), (14, 'S6'), (15, 'S7'), (16, 'E7'), (17, 'S6'), (18, 'E2'), (19, 'S0')]",17782.68400077,18.66740954,1.65718677
"[(1, 'S2'), (2, 'S4'), (3, 'E0'), (4, 'E7'), (5, 'E5'), (6, 'S0'), (7, 'E8'), (8, 'E4'), (9, 'S3'), (10, 'S0'), (11, 'S4'), (12, 'S6'), (13, 'E6'), (14, 'E7'), (15, 'S3'), (16, 'S0'), (17, 'S6'), (18, 'S5')]",12654.55015114,17.2715099,1.90963867
"[(1, 'S4'), (2, 'S5'), (3, 'E8'), (4, 'S3'), (5, 'E4'), (6, 'S9'), (7, 'S3'), (8, 'S1'), (9, 'S9'), (10, 'S5'), (11, 'S5'), (12, 'E3'), (13, 'E6'), (14, 'S8'), (15, 'E3'), (16, 'S5'), (17, 'S8'), (18, 'S8'), (19, 'E2')]",18440.04234763,19.96063066,1.4686131
"[(1, 'S9'), (2, 'E9'), (3, 'E3'), (4, 'E3'), (5, 'E0'), (6, 'S0'), (7, 'S6'), (8, 'E1'), (9, 'S7'), (10, 'E6'), (11, 'S7'), (12, 'E2'), (13, 'E0'), (14, 'S0'), (15, 'E2'), (16, 'E2')]",11217.50052202,17.40250592,1.75195013
"[(1, 'S2'), (2, 'S9'), (3, 'E0'), (4, 'E1'), (5, 'S0'), (6, 'E1'), (7, 'S6'), (8, 'S3'), (9, 'S6'), (10, 'S8'), (11, 'S0'), (12, 'E6'), (13, 'E0'), (14, 'E7'), (15, 'E3'), (16, 'S5')]",10854.15654252,19.07379621,1.79481129
"[(1, 'S5'), (2, 'S7'), (3, 'E7'), (4, 'E3'), (5, 'S5'), (6, 'E1'), (7, 'E9'), (8, 'E2'), (9, 'S7'), (10, 'S3'), (11, 'E3'), (12, 'E1'), (13, 'S8'), (14, 'S4'), (15, 'S1'), (16, 'S5'), (17, 'S7'), (18, 'E5')]",16193.63487203,18.7121038,1.74814793
"[(1, 'S0'), (2, 'S7'), (3, 'S2'), (4, 'S9'), (5, 'S6'), (6, 'S6'), (7, 'S6'), (8, 'S6'), (9, 'S3'), (10, 'S9'), (11, 'E3'), (12, 'E5'), (13, 'S7'), (14, 'S7'), (15, 'S4'), (16, 'S4'), (17, 'E5')]",14629.69511584,19.87816961,1.38927873
"[(1, 'S8'), (2, 'S8'), (3, 'E2'), (4, 'E1'), (5, 'S9'), (6, 'S7'), (7, 'S2'), (8, 'E2'), (9, 'S7'), (10, 'E1'), (11, 'S1'), (12, 'E9'), (13, 'E5'), (14, 'E2'), (15, 'S6'), (16, 'S7'), (17, 'E5')]",14144.94882681,19.96709935,1.61800899
"[(1, 'S6'), (2, 'S4'), (3, 'S7'), (4, 'S4'), (5, 'S8'), (6, 'S5'), (7, 'E5'), (8, 'S2'), (9, 'E6'), (10, 'E7'), (11, 'E0'), (12, 'E6'), (13, 'E7'), (14, 'S5'), (15, 'E4'), (16, 'E3'), (17, 'S5'), (18, 'S0'), (19, 'E0')]",14090.35223514,18.56334719,1.86395503
"[(1, 'S7'), (2, 'E1'), (3, 'S5'), (4, 'E5'), (5, 'E3'), (6, 'S8'), (7, 'S8'), (8, 'E4'), (9, 'E7'), (10, 'S2'), (11, 'E2'), (12, 'S4'), (13, 'S8'), (14, 'E6'), (15, 'E9'), (16, 'E9'), (17, 'S7')]",17157.36899217,18.64817802,1.78991953
"[(1, 'S1'), (2, 'E8'), (3, 'E1'), (4, 'S3'), (5, 'S7'), (6, 'E0'), (7, 'S4'), (8, 'E2'), (9, 'S0'), (10, 'S4'), (11, 'E6'), (12, 'S7'), (13, 'E6'), (14, 'S5'), (15, 'E4'), (16, 'E3'), (17, 'E6'), (18, 'S2'), (19, 'E6')]",13613.8872566,18.11159927,1.7645751
"[(1, 'S2'), (2, 'S6'), (3, 'S1'), (4, 'E1'), (5, 'S9'), (6, 'S0'), (7, 'E9'), (8, 'E0'), (9, 'S2'), (10, 'S5'), (11, 'E8'), (12, 'E6'), (13, 'S0'), (14, 'S3'), (15, 'E7'), (16, 'S6'), (17, 'S0'), (18, 'S2'), (19, 'S3')]",12918.28841256,18.8307747,1.92702416
"[(1, 'E4'), (2, 'S1'), (3, 'S1'), (4, 'S7'), (5, 'E4'), (6, 'E9'), (7, 'S1'), (8, 'S3'), (9, 'E7'), (10, 'S7'), (11, 'S6'), (12, 'S5'), (13, 'S8'), (14, 'S6'), (15, 'S8'), (16, 'E3'), (17, 'E9')]",16833.73913851,18.60176679,1.88901656
"[(1, 'E6'), (2, 'E0'), (3, 'S9'), (4, 'S3'), (5, 'S1'), (6, 'E4'), (7, 'S4'), (8, 'E5'), (9, 'S9'), (10, 'S6'), (11, 'E2'), (12, 'E7'), (13, 'E1'), (14, 'S2'), (15, 'E8'), (16, 'S9'), (17, 'E6'), (18, 'E9')]",15720.44609832,18.75236261,1.89258833
"[(1, 'E9'), (2, 'S9'), (3, 'E3'), (4, 'S5'), (5, 'E5'), (6, 'E4'), (7, 'E2'), (8, 'S0'), (9, 'S0'), (10, 'E1'), (11, 'S6'), (12, 'S6'), (13, 'E0'), (14, 'E2'), (15, 'S8'), (16, 'E4'), (17, 'S9'), (18, 'E9'), (19, 'S4'), (20, 'S9')]",17344.40246676,19.24274714,1.74810361
